2018-05-16 08:12:38 status half-installed libss2:amd64 1.43.4-2
2018-05-16 08:12:38 status unpacked libss2:amd64 1.43.4-2
2018-05-16 08:12:38 status unpacked libss2:amd64 1.43.4-2
2018-05-16 08:12:38 install liblzma5:amd64 <none> 5.2.2-1.2+b1
2018-05-16 08:12:38 status half-installed liblzma5:amd64 5.2.2-1.2+b1
2018-05-16 08:12:38 status unpacked liblzma5:amd64 5.2.2-1.2+b1
2018-05-16 08:12:38 status unpacked liblzma5:amd64 5.2.2-1.2+b1
2018-05-16 08:12:38 install libsemanage-common:all <none> 2.6-2
2018-05-16 08:12:38 status half-installed libsemanage-common:all 2.6-2
2018-05-16 08:12:38 status unpacked libsemanage-common:all 2.6-2
2018-05-16 08:12:38 status unpacked libsemanage-common:all 2.6-2
2018-05-16 08:12:38 install multiarch-support:amd64 <none> 2.24-11+deb9u1
2018-05-16 08:12:38 status half-installed multiarch-support:amd64 2.24-11+deb9u1
2018-05-16 08:12:38 status unpacked multiarch-support:amd64 2.24-11+deb9u1
2018-05-16 08:12:38 status unpacked multiarch-support:amd64 2.24-11+deb9u1
2018-05-16 08:12:38 install e2fslibs:amd64 <none> 1.43.4-2
2018-05-16 08:12:38 status half-installed e2fslibs:amd64 1.43.4-2
2018-05-16 08:12:38 status unpacked e2fslibs:amd64 1.43.4-2
2018-05-16 08:12:38 status unpacked e2fslibs:amd64 1.43.4-2
2018-05-16 08:12:38 install dash:amd64 <none> 0.5.8-2.4
2018-05-16 08:12:38 status half-installed dash:amd64 0.5.8-2.4
2018-05-16 08:12:38 status unpacked dash:amd64 0.5.8-2.4
2018-05-16 08:12:38 status unpacked dash:amd64 0.5.8-2.4
2018-05-16 08:12:38 install libncurses5:amd64 <none> 6.0+20161126-1+deb9u2
2018-05-16 08:12:38 status half-installed libncurses5:amd64 6.0+20161126-1+deb9u2
2018-05-16 08:12:38 status unpacked libncurses5:amd64 6.0+20161126-1+deb9u2
2018-05-16 08:12:38 status unpacked libncurses5:amd64 6.0+20161126-1+deb9u2
2018-05-16 08:12:39 install grep:amd64 <none> 2.27-2
2018-05-16 08:12:39 status half-installed grep:amd64 2.27-2
2018-05-16 08:12:39 status unpacked grep:amd64 2.27-2
2018-05-16 08:12:39 status unpacked grep:amd64 2.27-2
2018-05-16 08:12:39 install sysvinit-utils:amd64 <none> 2.88dsf-59.9
2018-05-16 08:12:39 status half-installed sysvinit-utils:amd64 2.88dsf-59.9
2018-05-16 08:12:39 status unpacked sysvinit-utils:amd64 2.88dsf-59.9
2018-05-16 08:12:39 status unpacked sysvinit-utils:amd64 2.88dsf-59.9
2018-05-16 08:12:39 install libbz2-1.0:amd64 <none> 1.0.6-8.1
2018-05-16 08:12:39 status half-installed libbz2-1.0:amd64 1.0.6-8.1
2018-05-16 08:12:39 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2018-05-16 08:12:39 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2018-05-16 08:12:39 install e2fsprogs:amd64 <none> 1.43.4-2
2018-05-16 08:12:39 status half-installed e2fsprogs:amd64 1.43.4-2
2018-05-16 08:12:39 status unpacked e2fsprogs:amd64 1.43.4-2
2018-05-16 08:12:39 status unpacked e2fsprogs:amd64 1.43.4-2
2018-05-16 08:12:39 install libgcc1:amd64 <none> 1:6.3.0-18+deb9u1
2018-05-16 08:12:39 status half-installed libgcc1:amd64 1:6.3.0-18+deb9u1
2018-05-16 08:12:39 status unpacked libgcc1:amd64 1:6.3.0-18+deb9u1
2018-05-16 08:12:39 status unpacked libgcc1:amd64 1:6.3.0-18+deb9u1
2018-05-16 08:12:39 install libtext-wrapi18n-perl:all <none> 0.06-7.1
2018-05-16 08:12:39 status half-installed libtext-wrapi18n-perl:all 0.06-7.1
2018-05-16 08:12:39 status unpacked libtext-wrapi18n-perl:all 0.06-7.1
2018-05-16 08:12:39 status unpacked libtext-wrapi18n-perl:all 0.06-7.1
2018-05-16 08:12:39 install libncursesw5:amd64 <none> 6.0+20161126-1+deb9u2
2018-05-16 08:12:39 status half-installed libncursesw5:amd64 6.0+20161126-1+deb9u2
2018-05-16 08:12:39 status unpacked libncursesw5:amd64 6.0+20161126-1+deb9u2
2018-05-16 08:12:39 status unpacked libncursesw5:amd64 6.0+20161126-1+deb9u2
2018-05-16 08:12:39 install gzip:amd64 <none> 1.6-5+b1
2018-05-16 08:12:39 status half-installed gzip:amd64 1.6-5+b1
2018-05-16 08:12:39 status unpacked gzip:amd64 1.6-5+b1
2018-05-16 08:12:40 status unpacked gzip:amd64 1.6-5+b1
2018-05-16 08:12:40 install bsdutils:amd64 <none> 1:2.29.2-1+deb9u1
2018-05-16 08:12:40 status half-installed bsdutils:amd64 1:2.29.2-1+deb9u1
2018-05-16 08:12:40 status unpacked bsdutils:amd64 1:2.29.2-1+deb9u1
2018-05-16 08:12:40 status unpacked bsdutils:amd64 1:2.29.2-1+deb9u1
2018-05-16 08:12:40 install libtext-charwidth-perl:amd64 <none> 0.04-7+b5
2018-05-16 08:12:40 status half-installed libtext-charwidth-perl:amd64 0.04-7+b5
2018-05-16 08:12:40 status unpacked libtext-charwidth-perl:amd64 0.04-7+b5
2018-05-16 08:12:40 status unpacked libtext-charwidth-perl:amd64 0.04-7+b5
2018-05-16 08:12:40 install libaudit1:amd64 <none> 1:2.6.7-2
2018-05-16 08:12:40 status half-installed libaudit1:amd64 1:2.6.7-2
2018-05-16 08:12:40 status unpacked libaudit1:amd64 1:2.6.7-2
2018-05-16 08:12:40 status unpacked libaudit1:amd64 1:2.6.7-2
2018-05-16 08:12:40 upgrade dpkg:amd64 1.18.24 1.18.24
2018-05-16 08:12:40 status half-configured dpkg:amd64 1.18.24
2018-05-16 08:12:40 status unpacked dpkg:amd64 1.18.24
2018-05-16 08:12:41 status half-installed dpkg:amd64 1.18.24
2018-05-16 08:12:41 status half-installed dpkg:amd64 1.18.24
2018-05-16 08:12:41 status unpacked dpkg:amd64 1.18.24
2018-05-16 08:12:41 status unpacked dpkg:amd64 1.18.24
2018-05-16 08:12:41 install libattr1:amd64 <none> 1:2.4.47-2+b2
2018-05-16 08:12:41 status half-installed libattr1:amd64 1:2.4.47-2+b2
2018-05-16 08:12:41 status unpacked libattr1:amd64 1:2.4.47-2+b2
2018-05-16 08:12:41 status unpacked libattr1:amd64 1:2.4.47-2+b2
2018-05-16 08:12:41 install libacl1:amd64 <none> 2.2.52-3+b1
2018-05-16 08:12:41 status half-installed libacl1:amd64 2.2.52-3+b1
2018-05-16 08:12:41 status unpacked libacl1:amd64 2.2.52-3+b1
2018-05-16 08:12:41 status unpacked libacl1:amd64 2.2.52-3+b1
2018-05-16 08:12:41 install libdb5.3:amd64 <none> 5.3.28-12+deb9u1
2018-05-16 08:12:41 status half-installed libdb5.3:amd64 5.3.28-12+deb9u1
2018-05-16 08:12:41 status unpacked libdb5.3:amd64 5.3.28-12+deb9u1
2018-05-16 08:12:41 status unpacked libdb5.3:amd64 5.3.28-12+deb9u1
2018-05-16 08:12:41 upgrade debconf:all 1.5.61 1.5.61
2018-05-16 08:12:41 status half-configured debconf:all 1.5.61
2018-05-16 08:12:41 status unpacked debconf:all 1.5.61
2018-05-16 08:12:41 status half-installed debconf:all 1.5.61
2018-05-16 08:12:41 status half-installed debconf:all 1.5.61
2018-05-16 08:12:41 status unpacked debconf:all 1.5.61
2018-05-16 08:12:41 status unpacked debconf:all 1.5.61
2018-05-16 08:12:41 install libfdisk1:amd64 <none> 2.29.2-1+deb9u1
2018-05-16 08:12:41 status half-installed libfdisk1:amd64 2.29.2-1+deb9u1
2018-05-16 08:12:41 status unpacked libfdisk1:amd64 2.29.2-1+deb9u1
2018-05-16 08:12:41 status unpacked libfdisk1:amd64 2.29.2-1+deb9u1
2018-05-16 08:12:41 install libsmartcols1:amd64 <none> 2.29.2-1+deb9u1
2018-05-16 08:12:41 status half-installed libsmartcols1:amd64 2.29.2-1+deb9u1
2018-05-16 08:12:41 status unpacked libsmartcols1:amd64 2.29.2-1+deb9u1
2018-05-16 08:12:41 status unpacked libsmartcols1:amd64 2.29.2-1+deb9u1
2018-05-16 08:12:41 install libaudit-common:all <none> 1:2.6.7-2
2018-05-16 08:12:41 status half-installed libaudit-common:all 1:2.6.7-2
2018-05-16 08:12:41 status unpacked libaudit-common:all 1:2.6.7-2
2018-05-16 08:12:41 status unpacked libaudit-common:all 1:2.6.7-2
2018-05-16 08:12:41 upgrade base-passwd:amd64 3.5.43 3.5.43
2018-05-16 08:12:41 status half-configured base-passwd:amd64 3.5.43
2018-05-16 08:12:41 status unpacked base-passwd:amd64 3.5.43
2018-05-16 08:12:41 status half-installed base-passwd:amd64 3.5.43
2018-05-16 08:12:41 status half-installed base-passwd:amd64 3.5.43
2018-05-16 08:12:41 status unpacked base-passwd:amd64 3.5.43
2018-05-16 08:12:41 status unpacked base-passwd:amd64 3.5.43
2018-05-16 08:12:41 install libtinfo5:amd64 <none> 6.0+20161126-1+deb9u2
2018-05-16 08:12:41 status half-installed libtinfo5:amd64 6.0+20161126-1+deb9u2
2018-05-16 08:12:41 status unpacked libtinfo5:amd64 6.0+20161126-1+deb9u2
2018-05-16 08:12:41 status unpacked libtinfo5:amd64 6.0+20161126-1+deb9u2
